Skill 1,Skill 2,Correlation
distributed-computing,piglatin,0.224294
hosting,java,0.224029
design_implementation,puppet,0.224024
cloud_computing,git,0.223668
marketing,software_development_life_cycle,0.223501
asp.net,azure,0.223357
design_implementation,innovative,0.223300
development_experience,innovative,0.223149
project_management_skills,version-control,0.223009
agile,web-applications,0.223000
distributed-computing,experience_software_development_lifecycle,0.222696
consumer_insights,distributed-computing,0.222696
javascript,mysql,0.222397
saas,spring,0.221932
cloud_computing,virtualization,0.221868
php,reporting-services,0.221641
business_requirements,html,0.221554
automation,spring,0.221510
networking,virtualization,0.221375
creativity,html,0.221334
design_implementation,marketing,0.221185
mobile_applications,mysql,0.220901
architecture_experience,java,0.220865
apache,php,0.220375
communication_skills,mysql,0.220307
c#,distributed-computing,0.220136
actionscript,c#,0.220075
distributed-computing,hive,0.219930
.net,deliver,0.219782
distributed-computing,wcf,0.219484
ruby-on-rails,ssl,0.219168
agile,deliver,0.218572
ability_manage,ajax,0.218535
windows,xml,0.218381
ios,web-analytics,0.218372
postgresql,python,0.218299
innovative,marketing,0.218157
ability_manage,erp,0.218076
ability_manage,openerp,0.217887
executive_level,hosting,0.217886
algorithm,life_cycle,0.217768
ability_manage,ofbiz,0.217290
cloud_computing,security,0.217281
unix,windows,0.217278
leader,puppet,0.217250
management_skills,web-applications,0.216794
database,management_skills,0.216660
management_skills,project_management_skills,0.216496
ios,ssas,0.216490
mysql,reporting,0.216449
management_skills,python,0.216218
apache,communication_skills,0.215999
git,video,0.215924
html,supply_chain,0.215774
software_development,sql,0.215725
agile,spring,0.215087
design_implementation,development_experience,0.214945
apache,asp.net,0.214911
ability_manage,open-source,0.214881
creativity,xml,0.214534
database,ssas,0.214018
database,reporting,0.213986
asp.net,cloud-hosting,0.213849
actionscript,wcf,0.213792
legacy,project_management_skills,0.213711
agile,cloud_computing,0.213684
c#,hyper-v,0.213503
management_skills,sql,0.213345
cloud_computing,vmware,0.213281
mapreduce,sql,0.213008
ajax,wcf,0.212993
data-warehousing,mobile_applications,0.212845
cloud_computing,testing,0.211977
database,php,0.211976
svn,unix,0.211797
google-app-engine,ubuntu,0.211240
ruby-on-rails,scrum,0.211142
creativity,vmware,0.211129
ability_manage,magento,0.210970
driven,supply_chain,0.210929
modernization,project_management_skills,0.210738
html5,java,0.210584
application_modernization,project_management_skills,0.210482
cloud,innovative,0.210460
database,networking,0.210002
mongodb,visual-studio,0.209592
jira,svn,0.209424
c#,openerp,0.209372
agile,marketing,0.208961
.net,linq,0.208795
ajax,unix,0.208524
azure,ruby-on-rails,0.208314
cloud-hosting,ubuntu,0.207746
architecture_experience,cloud,0.207563
.net,svn,0.207552
.net,xen,0.207543
design_implementation,software-engineering,0.207172
html,php,0.207123
azure,executive_level,0.206869
html,migration,0.206846
.net,database,0.206722
migration,vmware,0.206681
spring,web-applications,0.206566
computer-science,web-applications,0.206534
computer-science,linux,0.206482
engineer,unix,0.206469
partner,soa,0.206284
cloud,marketing,0.206183
experience_web_technologies,javascript,0.206132
java,windows-mobile,0.205721
agile,xml,0.205707
cloud-hosting,executive_level,0.205572
management_skills,supply_chain,0.205346
business_requirements,java,0.205315
development_experience,soa,0.205169
data-warehousing,ios,0.205157
government,supply_chain,0.205098
experience_software_development_lifecycle,openstack,0.204884
consumer_insights,openstack,0.204884
deliver,unix,0.204816
software_development_life_cycle,xml,0.204325
.net,sql,0.204320
cryptography,jvm,0.204254
jvm,xss,0.204254
c#,ofbiz,0.204124
architect,spring,0.204095
c#,erp,0.204090
database,security,0.203980
jvm,web-security,0.203783
asp.net,jquery,0.203765
mobile_applications,virtualization,0.203452
database,leader,0.203211
database,openstack,0.203148
.net,osx,0.202974
google-app-engine,postgresql,0.202954
ios,sql-server,0.202921
development_experience,saas,0.202498
tfs,wcf,0.202439
cloud-hosting,ruby-on-rails,0.202430
java,written_communication_skills,0.202371
life_cycle,mainframe,0.202350
application_development,engineer,0.202174
encryption,jvm,0.202031
cloud_computing,leader,0.201997
application_development,mobile_applications,0.201939
.net,oracle,0.201824
automation,security,0.201778
agile,driven,0.201774
html,spring,0.201729
communication_skills,unix,0.201584
leader,video,0.201488
hdfs,java,0.201304
executive_level,google-app-engine,0.201253
google-analytics,php,0.201232
java,security,0.201220
mysql,ssis,0.200668
asp.net,hosting,0.200604
asp.net,sql-server,0.200334
mobile_applications,prototyping,0.200084
marketing,project_management_skills,0.199831
mongodb,python,0.199820
database,mobile_applications,0.199264
flurry,php,0.199192
php,statistics,0.199040
jquery,ruby-on-rails,0.198874
deployment,hosting,0.198553
actionscript,html,0.198227
mysql,wcf,0.197289
objective-c,ruby-on-rails,0.197029
legacy,testing,0.196634
database,software_development,0.196478
java,mongodb,0.196243
executive_level,experience_web_technologies,0.196079
application_modernization,testing,0.195873
azure,deployment,0.195806
cloud-hosting,deployment,0.195797
agile,prototyping,0.195658
openstack,wcf,0.195635
php,postgresql,0.195370
distributed-computing,mysql,0.195177
ability_manage,web-applications,0.195120
.net,virtual-machine,0.195084
management_skills,video,0.195033
security,spring,0.194918
agile,business_requirements,0.194834
apache,cloud,0.194690
networking,web-applications,0.194583
database,life_cycle,0.194441
cloud,mobile_applications,0.194340
objective-c,windows-mobile,0.194263
flex,ruby-on-rails,0.194231
project_management_skills,written_communication_skills,0.194138
ajax,sql,0.194082
modernization,testing,0.194074
supply_chain,xml,0.193937
ability_manage,project_management_skills,0.193619
c#,sap,0.193576
.net,linux-kernel,0.193127
innovative,spring,0.193040
java,openstack,0.192818
computer-science,experience_web_technologies,0.192708
ajax,windows,0.192651
design_implementation,management_skills,0.192639
java,mapreduce,0.192275
jquery,php,0.192228
cordova,image-processing,0.192221
pig,sql,0.192080
piglatin,sql,0.192080
deployment,openstack,0.191886
business_requirements,marketing,0.191443
ios,reporting,0.191317
ruby-on-rails,spring,0.190884
distributed-computing,ubuntu,0.190837
hdfs,sql,0.190765
hosting,virtual-machine,0.190467
php,python,0.190216
computer-science,marketing,0.190174
.net,mysql,0.189950
application_development,design_implementation,0.189658
management_skills,virtualization,0.189597
saas,written_communication_skills,0.189575
ajax,creativity,0.189406
application_development,project_management_skills,0.189065
.net,software_development_life_cycle,0.188578
.net,kvm,0.188179
.net,web-applications,0.188093
html5,objective-c,0.187957
algorithm,supply_chain,0.187908
management_skills,software_development,0.187694
java,nosql,0.187560
consultant,project_management_skills,0.187529
deployment,google-app-engine,0.187429
android,azure,0.187414
government,life_cycle,0.187331
experience_web_technologies,virtualization,0.187219
architect,engineer,0.187205
css,passionate,0.187170
html,objective-c,0.187129
agile,automation,0.186795
ruby-on-rails,sharepoint,0.186722
business_requirements,communication_skills,0.186352
mainframe,project_management_skills,0.186345
hosting,ruby-on-rails,0.186110
distributed-computing,executive_level,0.185623
ajax,migration,0.185563
application_development,database,0.185223
innovative,xml,0.184976
c#,database,0.184568
cassandra,sql-server,0.184562
cordova,java,0.184342
driven,web-analytics,0.184330
deliver,oracle,0.184141
information_technology,unix,0.183933
mainframe,windows,0.183861
prototyping,software-engineering,0.183724
cloud_computing,computer-science,0.183207
asp.net,ssis,0.183180
css,deliver,0.183147
software_development_life_cycle,virtualization,0.182955
creativity,marketing,0.182835
android,cloud-hosting,0.182518
php,ssas,0.182513
flex,php,0.182275
c#,mysql,0.181994
cryptography,web-applications,0.181926
web-applications,xss,0.181926
.net,ability_manage,0.181203
web-applications,web-security,0.181101
algorithm,creativity,0.180846
ios,olap,0.180827
algorithm,data-warehousing,0.180788
deployment,distributed-computing,0.180582
java,unix,0.180279
application_development,information_technology,0.180245
asp.net,distributed-computing,0.180180
android,google-app-engine,0.179849
networking,vmware,0.179841
ios,java,0.179757
ability_manage,sap,0.179541
linq,reporting,0.179509
agile,testing,0.179134
agile,modernization,0.179017
agile,application_modernization,0.178876
architect,passionate,0.178867
javascript,objective-c,0.178779
cloud_computing,hyper-v,0.178633
sql-server,web-applications,0.178580
encryption,web-applications,0.178249
consultant,windows,0.178204
cassandra,java,0.178183
.net,sql-server,0.178165
business_requirements,sql-server,0.178075
driven,sql-server,0.178065
apache,java,0.178016
innovative,software_development,0.177950
hyper-v,unix,0.177880
agile,passionate,0.177846
algorithm,objective-c,0.177680
architecture_experience,software-engineering,0.177666
algorithm,ssl,0.177599
computer-science,devops,0.177583
encryption,sql-server,0.177564
air,image-processing,0.177474
php,ruby,0.177316
android,hosting,0.177205
open-source,php,0.176965
cloud_computing,svn,0.176948
asp.net,windows-mobile,0.176672
information_technology,windows,0.176587
ability_manage,agile,0.176516
communication_skills,web-applications,0.176417
deliver,virtualization,0.176091
ajax,driven,0.176010
mysql,open-source,0.175624
agile,video,0.175555
google-app-engine,mysql,0.175456
distributed-computing,ruby-on-rails,0.175403
asp.net,openstack,0.175390
software_development_life_cycle,unix,0.175303
asp.net,database,0.175112
leader,project_management_skills,0.174871
.net,management_skills,0.174690
.net,application_development,0.174659
development_experience,sql,0.174455
hbase,java,0.174402
web-security,windows,0.174187
cryptography,sql-server,0.174148
sql-server,xss,0.174148
deliver,java,0.174059
html,soa,0.173924
database,project_management_skills,0.173782
performance,video,0.173771
cryptography,windows,0.173725
windows,xss,0.173725
software_development,svn,0.173515
sql-server,web-security,0.173496
hosting,kvm,0.173328
business_requirements,css,0.173290
mainframe,testing,0.173196
communication_skills,prototyping,0.173183
mobile_applications,saas,0.173181
business_requirements,project_management_skills,0.173132
linq,software_development,0.172999
computer-science,sql,0.172793
computer-science,continuous-integration,0.172636
communication_skills,oracle,0.172462
.net,libvirt,0.172394
.net,qemu,0.172394
.net,virtualbox,0.172394
google-app-engine,mongodb,0.172327
business_requirements,virtualization,0.172020
.net,html,0.172000
ssl,video,0.171916
cloud-hosting,postgresql,0.171652
creativity,database,0.171480
agile,partner,0.171478
spring,ssl,0.171437
driven,javascript,0.171339
google-analytics,objective-c,0.171275
java,responsive-design,0.171254
java,sencha-touch,0.171254
azure,postgresql,0.171240
c#,sql-server,0.171222
flurry,objective-c,0.171206
objective-c,statistics,0.170966
java,r,0.170868
ajax,web-analytics,0.170848
algorithm,xml,0.170261
objective-c,windows,0.170124
deliver,spring,0.169902
apache,security,0.169902
engineer,soa,0.169891
objective-c,reporting-services,0.169845
ability_manage,xml,0.169779
encryption,windows,0.169595
supply_chain,video,0.169553
azure,php,0.169038
javascript,visual-studio,0.168943
mysql,oracle,0.168734
java,management_skills,0.168609
soa,unix,0.168095
nosql,sql-server,0.168002
partner,xml,0.167782
design_implementation,devops,0.167536
architect,virtualization,0.167215
government,migration,0.167154
agile,legacy,0.167106
hyper-v,migration,0.167056
ajax,mysql,0.166625
ability_manage,design_implementation,0.166128
driven,xml,0.166082
java,soa,0.165965
management_skills,sql-server,0.165710
experience_web_technologies,html,0.165705
cloud-hosting,partner,0.165349
information_technology,project_management_skills,0.165295
java,phonegap,0.165134
html5,ruby-on-rails,0.165121
spring,unix,0.164701
continuous-integration,design_implementation,0.164669
oracle,ruby-on-rails,0.164376
cloud,sql,0.164065
ios,ssis,0.163887
postgresql,visual-studio,0.163553
innovative,mobile_applications,0.163537
software-engineering,tfs,0.163462
application_development,software_development_life_cycle,0.163400
experience_web_technologies,marketing,0.162769
devops,leader,0.162388
azure,partner,0.162232
css,design_implementation,0.162069
java,pig,0.161509
java,piglatin,0.161509
database,wcf,0.161381
ssl,unix,0.161295
agile,consultant,0.161262
hosting,postgresql,0.161232
jira,visual-studio,0.161221
architecture_experience,experience_web_technologies,0.161127
android,distributed-computing,0.161113
data-warehousing,php,0.160993
government,mainframe,0.160847
.net,mobile_applications,0.160267
cloud-hosting,php,0.159628
git,written_communication_skills,0.159623
alfresco,dynamics-crm,0.159361
dynamics-crm,workflow-activity,0.159361
dynamics-crm,workflow-foundation,0.159361
dynamics-crm,workflow-foundation-4,0.159361
experience_web_technologies,leader,0.159238
deliver,supply_chain,0.159222
google-app-engine,partner,0.159142
cloud_computing,hadoop,0.159030
migration,testing,0.158912
architect,unix,0.158826
computer-science,ruby,0.158741
automation,experience_web_technologies,0.158639
cassandra,web-analytics,0.158617
cloud,mysql,0.158613
apache,web-applications,0.158433
android,openstack,0.158219
ruby-on-rails,windows-mobile,0.158106
dynamics-crm,mercurial,0.157838
.net,vmware,0.157787
devops,web-applications,0.157695
continuous-integration,leader,0.157681
consultant,testing,0.157667
prototyping,web-applications,0.157600
dynamics-crm,sharepoint,0.157475
java,oracle,0.157430
computer-science,video,0.157256
html,partner,0.157219
continuous-integration,web-applications,0.156933
database,linux,0.156620
communication_skills,sql,0.156527
hive,java,0.156330
migration,security,0.156217
javascript,mongodb,0.156167
css,soa,0.155818
innovative,java,0.155628
algorithm,apache,0.155591
ability_manage,virtualization,0.155586
ruby,web-applications,0.155555
git,python,0.155536
php,reporting,0.155294
olap,php,0.155201
java,legacy,0.155091
oracle,soa,0.154830
driven,kanban,0.154577
passionate,written_communication_skills,0.154574
openstack,ruby-on-rails,0.154391
application_development,software_development,0.154342
computer-science,oracle,0.154276
driven,mongodb,0.154139
php,windows,0.154101
.net,driven,0.154047
hosting,partner,0.153906
git,linux,0.153686
cloud-hosting,passionate,0.153624
architect,testing,0.153310
application_modernization,java,0.152958
objective-c,sql-server,0.152656
agile,linux,0.152619
objective-c,php,0.152518
distributed-computing,partner,0.152515
design_implementation,hadoop,0.152425
c#,html5,0.152414
azure,passionate,0.152016
database,ruby-on-rails,0.152010
innovative,testing,0.151913
javascript,mobile_applications,0.151874
objective-c,visual-studio,0.151775
passionate,xml,0.151774
apache,migration,0.151738
prototyping,software_development,0.151693
application_development,deliver,0.151616
air,java,0.151330
deliver,project_management_skills,0.151288
jvm,php,0.150947
objective-c,ssas,0.150930
flurry,phonegap,0.150461
information_technology,xen,0.150267
hosting,passionate,0.150243
ajax,management_skills,0.149877
flex,objective-c,0.149740
development_experience,svn,0.149554
deployment,design_implementation,0.149448
driven,oracle,0.149412
design_implementation,driven,0.149264
javascript,oracle,0.149205
java,modernization,0.149201
information_technology,ubuntu,0.149136
asp.net,cordova,0.149092
soa,virtualization,0.149090
oracle,php,0.148945
cassandra,statistics,0.148944
saas,virtualization,0.148934
application_development,written_communication_skills,0.148929
mysql,sap,0.148901
cassandra,google-analytics,0.148865
cassandra,flurry,0.148851
experience_web_technologies,project_management_skills,0.148822
ability_manage,cloud-hosting,0.148423
oracle,testing,0.148225
ajax,performance,0.148162
phonegap,statistics,0.148139
information_technology,xml,0.148129
engineer,experience_web_technologies,0.148053
google-analytics,phonegap,0.147754
apache,experience_web_technologies,0.147622
algorithm,windows,0.147456
objective-c,web-analytics,0.147434
javascript,wcf,0.147254
unix,vmware,0.147203
erp,supply_chain,0.147072
architect,xml,0.146884
agile,mainframe,0.146793
java,sql-server,0.146730
puppet,web-applications,0.146709
distributed-computing,driven,0.146696
information_technology,virtual-machine,0.146656
database,google-analytics,0.146572
openerp,supply_chain,0.146465
database,information_technology,0.146389
database,statistics,0.146334
ofbiz,supply_chain,0.146199
database,flurry,0.146108
cassandra,reporting-services,0.145999
deployment,saas,0.145835
mercurial,ruby-on-rails,0.145776
experience_web_technologies,mysql,0.145725
information_technology,kvm,0.145326
hbase,sql-server,0.145322
hosting,php,0.145218
ability_manage,azure,0.145026
marketing,mobile_applications,0.144999
migration,project_management_skills,0.144789
executive_level,soa,0.144691
development_experience,web-applications,0.144513
distributed-computing,passionate,0.144429
design_implementation,ruby,0.144399
ajax,software_development_life_cycle,0.144329
security,soa,0.144044
cloud-hosting,mongodb,0.144018
engineer,spring,0.143965
software_development_life_cycle,supply_chain,0.143841
asp.net,jvm,0.143791
algorithm,java,0.143740
git,mysql,0.143679
svn,visual-studio,0.143578
cloud-hosting,hdfs,0.143562
partner,web-analytics,0.143513
database,reporting-services,0.143221
computer-science,deployment,0.143015
google-app-engine,passionate,0.142836
magento,php,0.142785
driven,unix,0.142626
deployment,leader,0.142614
objective-c,video,0.142595
azure,mongodb,0.142433
automation,sql,0.141987
azure,hdfs,0.141848
ability_manage,communication_skills,0.141716
oracle,security,0.141706
php,ssis,0.141629
architecture_experience,scrum,0.141514
r,sql-server,0.141439
modernization,passionate,0.141417
security,unix,0.141288
hyper-v,networking,0.141264
information_technology,libvirt,0.141045
information_technology,qemu,0.141045
information_technology,virtualbox,0.141045
objective-c,reporting,0.140917
cloud_computing,windows,0.140870
life_cycle,mysql,0.140579
html,olap,0.140530
application_modernization,government,0.140430
application_development,architecture_experience,0.140045
html,sql,0.139859
automation,git,0.139777
encryption,google-app-engine,0.139536
legacy,security,0.139483
unix,web-applications,0.139441
olap,performance,0.139387
git,unit-testing,0.139280
government,modernization,0.139208
information_technology,openstack,0.139153
magento,supply_chain,0.138877
asp.net,sharepoint,0.138846
image-processing,phonegap,0.138796
asp.net,phonegap,0.138637
information_technology,linux-kernel,0.138411
magento,mysql,0.138353
project_management_skills,ruby-on-rails,0.138340
deployment,php,0.138214
dynamics-crm,version-control,0.138177
application_modernization,security,0.138100
architecture_experience,testing,0.138063
nosql,web-analytics,0.138027
sap,supply_chain,0.137392
cordova,ruby-on-rails,0.137293
c#,performance,0.137268
ios,spring,0.137207
svn,unit-testing,0.137053
driven,statistics,0.137040
engineer,project_management_skills,0.137015
java,ssl,0.137001
ajax,objective-c,0.136908
driven,google-analytics,0.136878
driven,flurry,0.136869
linux,web-applications,0.136862
distributed-computing,php,0.136817
software_development_life_cycle,spring,0.136804
google-app-engine,sql-server,0.136753
hdfs,hosting,0.136743
html5,php,0.136675
openstack,postgresql,0.136496
modernization,security,0.136485
ios,visual-studio,0.136481
ability_manage,hosting,0.136215
algorithm,cloud,0.136199
c#,objective-c,0.136180
sql,written_communication_skills,0.136093
google-app-engine,hdfs,0.136002
algorithm,python,0.135951
openstack,passionate,0.135913
deployment,web-applications,0.135806
ios,php,0.135546
architecture_experience,development_experience,0.135497
java,xml,0.135389
leader,ruby,0.135352
.net,open-source,0.135093
objective-c,ssis,0.134931
information_technology,osx,0.134828
driven,postgresql,0.134591
hosting,mongodb,0.134591
ability_manage,google-app-engine,0.134212
phonegap,reporting-services,0.134155
encryption,objective-c,0.133967
government,legacy,0.133735
creativity,software-engineering,0.133417
cassandra,ssas,0.133313
networking,windows,0.133240
asp.net,reporting,0.132953
openstack,performance,0.132820
dynamics-crm,git,0.132775
objective-c,web-security,0.132546
c#,xml,0.132527
erp,mysql,0.132441
open-source,software_development_life_cycle,0.132438
mobile_applications,software-engineering,0.132215
driven,reporting-services,0.132011
prototyping,written_communication_skills,0.131997
objective-c,xml,0.131859
mysql,openerp,0.131822
mysql,ofbiz,0.131531
database,experience_web_technologies,0.131512
algorithm,ssis,0.131497
application_development,cloud,0.131445
encryption,postgresql,0.131426
cryptography,objective-c,0.131157
objective-c,xss,0.131157
jquery,web-applications,0.131151
sql,xml,0.130762
engineer,git,0.130674
marketing,unix,0.130506
application_development,driven,0.130173
modernization,windows,0.129724
communication_skills,deliver,0.129713
project_management_skills,testing,0.129696
css,experience_web_technologies,0.129660
cloud-hosting,driven,0.129402
cloud-hosting,mysql,0.129273
html,mysql,0.128943
html,mainframe,0.128750
application_modernization,windows,0.128662
azure,mysql,0.128594
ajax,c#,0.128257
information_technology,testing,0.128191
python,security,0.128010
mongodb,php,0.128006
nosql,statistics,0.128001
driven,google-app-engine,0.127979
google-analytics,nosql,0.127942
flurry,nosql,0.127926
flex,web-security,0.127891
information_technology,sql-server,0.127864
management_skills,xml,0.127496
git,ruby-on-rails,0.127495
open-source,supply_chain,0.127434
azure,driven,0.127322
php,windows-mobile,0.127269
life_cycle,olap,0.127244
management_skills,security,0.127234
asp.net,mercurial,0.127173
networking,php,0.126894
ability_manage,distributed-computing,0.126489
mainframe,security,0.126413
application_development,innovative,0.126406
c#,sql,0.126404
openstack,partner,0.126132
hosting,libvirt,0.125894
hosting,qemu,0.125894
hosting,virtualbox,0.125894
driven,hosting,0.125837
data-warehousing,objective-c,0.125722
legacy,life_cycle,0.125690
information_technology,spring,0.125678
legacy,windows,0.125642
asp.net,olap,0.125399
mysql,objective-c,0.125375
nosql,reporting-services,0.125221
architecture_experience,prototyping,0.125119
executive_level,ubuntu,0.125086
driven,web-applications,0.124952
android,java,0.124818
hosting,linux-kernel,0.124448
ability_manage,unix,0.124055
consultant,java,0.123684
.net,partner,0.123576
application_modernization,life_cycle,0.123531
html,ios,0.123318
automation,database,0.123111
hosting,hyper-v,0.122954
testing,written_communication_skills,0.122924
apache,mobile_applications,0.122897
networking,testing,0.122776
architecture_experience,written_communication_skills,0.122688
mobile_applications,passionate,0.122672
algorithm,unix,0.122625
android,html,0.122605
hosting,osx,0.122521
information_technology,jvm,0.122455
life_cycle,modernization,0.122383
alfresco,ruby-on-rails,0.122358
ruby-on-rails,workflow-activity,0.122358
ruby-on-rails,workflow-foundation,0.122358
ruby-on-rails,workflow-foundation-4,0.122358
linq,sql,0.122169
security,software-engineering,0.122092
information_technology,vmware,0.122038
phonegap,web-analytics,0.121919
cloud_computing,web-applications,0.121895
mobile_applications,security,0.121863
html5,wcf,0.121800
openstack,php,0.121691
business_requirements,testing,0.121555
cryptography,postgresql,0.121533
postgresql,xss,0.121533
cassandra,reporting,0.121427
database,legacy,0.121266
ssis,wcf,0.121120
apache,git,0.121093
mysql,supply_chain,0.120838
postgresql,web-security,0.120837
business_requirements,database,0.120789
mysql,performance,0.120590
css,windows,0.120391
phonegap,ssas,0.120315
partner,virtualization,0.120245
html,web-analytics,0.120174
architecture_experience,mobile_applications,0.119980
openerp,software_development_life_cycle,0.119858
java,mainframe,0.119795
hbase,web-analytics,0.119778
erp,software_development_life_cycle,0.119762
business_requirements,written_communication_skills,0.119750
css,php,0.119624
ajax,supply_chain,0.119251
css,partner,0.119124
innovative,prototyping,0.118996
ofbiz,software_development_life_cycle,0.118893
c#,ssis,0.118838
distributed-computing,python,0.118801
cloud_computing,sql,0.118661
r,web-analytics,0.118566
cassandra,driven,0.118471
c#,javascript,0.118199
puppet,sql,0.117855
information_technology,wpf,0.117840
hdfs,openstack,0.117765
testing,virtualization,0.117596
application_development,java,0.117551
business_requirements,php,0.117518
partner,written_communication_skills,0.117492
application_modernization,passionate,0.117450
deliver,written_communication_skills,0.117238
automation,management_skills,0.116949
cassandra,olap,0.116130
devops,sql,0.115994
networking,openstack,0.115971
responsive-design,ruby-on-rails,0.115911
ruby-on-rails,sencha-touch,0.115911
design_implementation,mobile_applications,0.115909
migration,objective-c,0.115790
driven,nosql,0.115752
consumer_insights,innovative,0.115600
experience_software_development_lifecycle,innovative,0.115600
communication_skills,information_technology,0.115531
git,software_development,0.115478
linq,spring,0.115208
life_cycle,security,0.115146
ajax,web-security,0.115082
.net,magento,0.115058
asp.net,responsive-design,0.114702
asp.net,sencha-touch,0.114702
hosting,jvm,0.114551
ajax,cryptography,0.114540
ajax,xss,0.114540
ruby,sql,0.114411
deliver,web-analytics,0.114352
software_development_life_cycle,testing,0.114320
cryptography,flex,0.114180
flex,xss,0.114180
asp.net,version-control,0.114039
software_development,web-applications,0.113844
android,visual-studio,0.113794
hosting,wpf,0.113480
database,web-analytics,0.113382
driven,spring,0.113382
ajax,consultant,0.112933
design_implementation,mysql,0.112811
nosql,ssas,0.112716
communication_skills,partner,0.112696
.net,testing,0.112669
mainframe,passionate,0.112635
algorithm,asp.net,0.112495
deliver,sql-server,0.112485
driven,openstack,0.112404
cloud_computing,pig,0.112385
cloud_computing,piglatin,0.112385
consultant,marketing,0.112355
phonegap,php,0.112323
asp.net,css,0.112092
mobile_applications,sql-server,0.112049
design_implementation,pig,0.112005
design_implementation,piglatin,0.112005
encryption,flex,0.111997
passionate,web-analytics,0.111937
ios,mobile_applications,0.111921
mongodb,openstack,0.111899
magento,software_development_life_cycle,0.111602
asp.net,postgresql,0.111518
project_management_skills,prototyping,0.111248
javascript,postgresql,0.111107
hyper-v,objective-c,0.111043
asp.net,ssas,0.111025
algorithm,distributed-computing,0.111005
ability_manage,kanban,0.110964
php,sap,0.110808
development_experience,oracle,0.110641
marketing,web-analytics,0.110389
application_development,oracle,0.110346
ajax,encryption,0.110293
linux,php,0.110251
driven,ssas,0.110138
partner,sql-server,0.110134
algorithm,svn,0.110029
ios,svn,0.110008
legacy,passionate,0.109935
creativity,unix,0.109796
innovative,puppet,0.109720
hosting,information_technology,0.109677
algorithm,reporting,0.109598
driven,hbase,0.109530
ios,soa,0.109517
continuous-integration,sql,0.109464
linux,openstack,0.109364
cloud-hosting,mapreduce,0.109340
libvirt,testing,0.109101
qemu,testing,0.109101
testing,virtualbox,0.109101
hosting,vmware,0.109086
hbase,statistics,0.108549
google-analytics,hbase,0.108472
flurry,hbase,0.108460
kanban,management_skills,0.108288
devops,php,0.108118
ability_manage,openstack,0.108096
continuous-integration,php,0.107936
executive_level,xen,0.107920
reporting-services,sap,0.107826
openerp,php,0.107655
sap,statistics,0.107629
r,statistics,0.107582
azure,mapreduce,0.107565
architect,scrum,0.107561
google-analytics,sap,0.107530
soa,written_communication_skills,0.107528
phonegap,reporting,0.107519
flurry,sap,0.107516
google-analytics,r,0.107512
flurry,r,0.107490
erp,php,0.107471
hosting,mysql,0.107446
prototyping,svn,0.107400
database,saas,0.107354
data-warehousing,phonegap,0.107316
java,visual-studio,0.107105
ofbiz,php,0.107060
c#,flex,0.107003
jquery,objective-c,0.106857
c#,jira,0.106801
cassandra,ssis,0.106575
design_implementation,php,0.106461
cloud_computing,hive,0.106253
deployment,sql,0.106211
.net,openerp,0.106192
python,sql-server,0.106016
actionscript,visual-studio,0.105991
communication_skills,erp,0.105945
phonegap,sql-server,0.105792
hbase,reporting-services,0.105732
development_experience,legacy,0.105668
.net,passionate,0.105632
communication_skills,legacy,0.105132
communication_skills,openerp,0.105083
database,mainframe,0.105042
linux-kernel,testing,0.104884
marketing,sql,0.104857
communication_skills,spring,0.104803
r,reporting-services,0.104798
communication_skills,ofbiz,0.104768
application_modernization,data-warehousing,0.104711
kvm,testing,0.104692
google-app-engine,mapreduce,0.104647
java,video,0.104506
communication_skills,passionate,0.104427
database,migration,0.104347
java,virtualization,0.104222
ios,web-security,0.103777
deliver,distributed-computing,0.103737
design_implementation,hive,0.103401
.net,soa,0.103327
life_cycle,marketing,0.103272
communication_skills,consultant,0.103251
sap,ssas,0.103050
driven,r,0.103049
azure,xen,0.103026
networking,svn,0.102976
creativity,security,0.102782
driven,mapreduce,0.102781
testing,virtual-machine,0.102776
hosting,mapreduce,0.102705
database,prototyping,0.102702
data-warehousing,modernization,0.102689
ajax,mainframe,0.102589
apache,management_skills,0.102146
olap,phonegap,0.101952
c#,oracle,0.101942
ability_manage,javascript,0.101885
ruby,saas,0.101872
ability_manage,application_development,0.101785
python,spring,0.101029
nosql,reporting,0.101025
open-source,reporting-services,0.100935
application_modernization,development_experience,0.100867
cloud_computing,hdfs,0.100699
driven,hdfs,0.100664
cloud_computing,mapreduce,0.100640
.net,erp,0.100635
osx,testing,0.100479
architect,saas,0.100422
mobile_applications,svn,0.100305
development_experience,spring,0.100216
actionscript,ssl,0.100181
hive,sql-server,0.099942
alfresco,unit-testing,0.099914
unit-testing,workflow-foundation,0.099914
unit-testing,workflow-foundation-4,0.099914
unit-testing,workflow-activity,0.099914
olap,sap,0.099896
linq,sugarcrm,0.099587
linq,vtiger,0.099587
linq,workflow,0.099587
business_requirements,supply_chain,0.099556
.net,ofbiz,0.099493
database,software-engineering,0.099454
leader,unix,0.099302
open-source,statistics,0.099286
agile,migration,0.099285
google-analytics,open-source,0.099284
flurry,open-source,0.099218
data-warehousing,legacy,0.099148
executive_level,virtual-machine,0.099114
architect,written_communication_skills,0.099010
cordova,php,0.098980
algorithm,ssas,0.098923
design_implementation,hdfs,0.098913
design_implementation,software_development_life_cycle,0.098889
development_experience,modernization,0.098769
testing,xen,0.098765
air,ruby-on-rails,0.098701
reporting,sap,0.098466
